source_chunk_id,insurer_code,coverage_code,raw_name,amount_value,amount_text,new_chunk_id,status
6260,DB,A1300,상해사망,100000,10만원,,dry_run
6260,DB,A1100,질병사망,100000,10만원,,dry_run
6260,DB,A5300,상해수술비(동일사고당1회지급),100000,10만원,,dry_run
6260,DB,A4301_1,골절진단비(치아제외),100000,10만원,,dry_run
6260,DB,A5200,암수술비(유사암제외)(최초1회한),300000,30만원,,dry_run
6260,DB,A5298_001,유사암수술비,300000,30만원,,dry_run
6260,DB,A9617_1,항암방사선약물치료비(유사암포함),20000,2만원,,dry_run
6260,DB,A9640_1,혈전용해치료비,100000,10만원,,dry_run
6260,DB,A5100,질병수술비(매회지급),100000,10만원,,dry_run
6270,DB,A1300,상해사망,100000,10만원,,dry_run
6270,DB,A1100,질병사망,100000,10만원,,dry_run
6270,DB,A5300,상해수술비(동일사고당1회지급),100000,10만원,,dry_run
6270,DB,A4301_1,골절진단비(치아제외),100000,10만원,,dry_run
6270,DB,A5200,암수술비(유사암제외)(최초1회한),300000,30만원,,dry_run
6270,DB,A5298_001,유사암수술비,300000,30만원,,dry_run
6270,DB,A9617_1,항암방사선약물치료비(유사암포함),20000,2만원,,dry_run
6270,DB,A9640_1,혈전용해치료비,100000,10만원,,dry_run
6270,DB,A5100,질병수술비(매회지급),100000,10만원,,dry_run
6292,DB,A5100,질병수술비(상급종합병원)(동일질병당1회지급),1000000,100만원,,dry_run
6292,DB,A5100,질병수술비(상급종합병원)(매회지급),1000000,100만원,,dry_run
6301,DB,A4299_1,암진단비,1000000,100만원,,dry_run
6301,DB,A4299_1,암진단비,1000000,100만원,,dry_run
6303,DB,A4299_1,암진단비,1000000,100만원,,dry_run
6361,DB,A5100,질병수술비(상급종합병원)(동일질병당1회지급),1000000,100만원,,dry_run
6361,DB,A5100,질병수술비(상급종합병원)(매회지급),1000000,100만원,,dry_run
6412,DB,A5298_001,유사암수술비,4000000,400만원,,dry_run
6412,DB,A5298_001,유사암수술비,6000000,600만원,,dry_run
6415,DB,A1300,상해사망,100000000,1억원,,dry_run
6415,DB,A9617_1,항암방사선약물치료비(유사암포함),20000000,"2,000만원",,dry_run
6415,DB,A4105,허혈심장질환진단비,20000000,"2,000만원",,dry_run
6415,DB,A1300,상해사망,10000000,"1,000만원",,dry_run
6415,DB,A1300,상해사망,10000000,"1,000만원",,dry_run
6415,DB,A4299_1,암진단비,10000000,"1,000만원",,dry_run
6415,DB,A4210,유사암진단비,1000000,100만원,,dry_run
6415,DB,A4103,뇌졸중진단비,10000000,"1,000만원",,dry_run
6416,DB,A1300,상해사망,10000000,"1,000만원",,dry_run
6416,DB,A1300,상해사망,10000000,"1,000만원",,dry_run
6416,DB,A4299_1,암진단비,10000000,"1,000만원",,dry_run
6416,DB,A4210,유사암진단비,1000000,100만원,,dry_run
6416,DB,A4103,뇌졸중진단비,10000000,"1,000만원",,dry_run
6416,DB,A1300,상해사망,10000000,"1,000만원",,dry_run
6416,DB,A1300,상해사망,10000000,"1,000만원",,dry_run
6416,DB,A4299_1,암진단비,10000000,"1,000만원",,dry_run
6416,DB,A4210,유사암진단비,1000000,100만원,,dry_run
6416,DB,A4103,뇌졸중진단비(갱신형),10000000,"1,000만원",,dry_run
6417,DB,A1300,상해사망,10000000,"1,000만원",,dry_run
6417,DB,A1300,상해사망,10000000,"1,000만원",,dry_run
6417,DB,A4299_1,암진단비,10000000,"1,000만원",,dry_run
6417,DB,A4210,유사암진단비,1000000,100만원,,dry_run
6417,DB,A4103,뇌졸중진단비(갱신형),10000000,"1,000만원",,dry_run
6417,DB,A1300,상해사망,10000000,"1,000만원",,dry_run
6417,DB,A1300,상해사망,10000000,"1,000만원",,dry_run
6417,DB,A4299_1,암진단비,10000000,"1,000만원",,dry_run
6417,DB,A4210,유사암진단비,1000000,100만원,,dry_run
6417,DB,A4103,뇌졸중진단비,10000000,"1,000만원",,dry_run
6417,DB,A1300,상해사망,10000000,"1,000만원",,dry_run
6417,DB,A1300,상해사망,10000000,"1,000만원",,dry_run
6417,DB,A4299_1,암진단비,10000000,"1,000만원",,dry_run
6417,DB,A4210,유사암진단비,1000000,100만원,,dry_run
6417,DB,A4103,뇌졸중진단비,10000000,"1,000만원",,dry_run
6418,DB,A1300,상해사망,10000000,"1,000만원",,dry_run
6418,DB,A1300,상해사망,10000000,"1,000만원",,dry_run
6418,DB,A4299_1,암진단비,10000000,"1,000만원",,dry_run
6418,DB,A4210,유사암진단비,1000000,100만원,,dry_run
6418,DB,A4103,뇌졸중진단비,10000000,"1,000만원",,dry_run
6418,DB,A1300,상해사망,10000000,"1,000만원",,dry_run
6418,DB,A1300,상해사망,10000000,"1,000만원",,dry_run
6418,DB,A4299_1,암진단비,10000000,"1,000만원",,dry_run
6418,DB,A4210,유사암진단비,1000000,100만원,,dry_run
6418,DB,A4103,뇌졸중진단비,10000000,"1,000만원",,dry_run
6419,DB,A1300,상해사망,10000000,"1,000만원",,dry_run
6419,DB,A1300,상해사망,10000000,"1,000만원",,dry_run
6419,DB,A4299_1,암진단비,10000000,"1,000만원",,dry_run
6419,DB,A4210,유사암진단비,1000000,100만원,,dry_run
6419,DB,A4103,뇌졸중진단비(갱신형),10000000,"1,000만원",,dry_run
6419,DB,A1300,상해사망,10000000,"1,000만원",,dry_run
6419,DB,A1300,상해사망,10000000,"1,000만원",,dry_run
6419,DB,A4299_1,암진단비,10000000,"1,000만원",,dry_run
6419,DB,A4210,유사암진단비,1000000,100만원,,dry_run
6419,DB,A4103,뇌졸중진단비(갱신형),10000000,"1,000만원",,dry_run
7518,HANWHA,A4302,화상진단비,100000,10만원,,dry_run
7518,HANWHA,A4210,대유사암진단비,4000000,400만원,,dry_run
7518,HANWHA,A4210,대유사암진단비(기타피부암),6000000,600만원,,dry_run
7518,HANWHA,A4210,대유사암진단비(제자리암),6000000,600만원,,dry_run
7518,HANWHA,A4210,대유사암진단비(경계성종양),6000000,600만원,,dry_run
7518,HANWHA,A4210,대유사암진단비(갑상선암),6000000,600만원,,dry_run
7518,HANWHA,A9617_1,특정유사암항암방사선치료비(세부보장별각1회한),1000000,100만원,,dry_run
7518,HANWHA,A9617_1,항암방사선치료비(1회한),3000000,300만원,,dry_run
7518,HANWHA,A9617_1,항암약물치료비(1회한),3000000,300만원,,dry_run
7518,HANWHA,A9617_1,특정유사암항암약물치료비(세부보장별각1회한),1000000,100만원,,dry_run
7518,HANWHA,A4104_1,심근병증진단비,1000000,100만원,,dry_run
7518,HANWHA,A4104_1,주요심장염증질환진단비,1000000,100만원,,dry_run
7518,HANWHA,A5300,상해수술비,100000,10만원,,dry_run
7518,HANWHA,A5100,질병수술비,100000,10만원,,dry_run
7518,HANWHA,A5298_001,대유사암수술비,300000,30만원,,dry_run
7518,HANWHA,A5104_1,뇌혈관질환수술비(수술1회당),5000000,500만원,,dry_run
7518,HANWHA,A5107_1,허혈성심장질환수술비(수술1회당),5000000,500만원,,dry_run
7518,HANWHA,A6300_1,상해입원비(1일이상180일한도),10000,1만원,,dry_run
7518,HANWHA,A6100_1,질병입원비(1일이상180일한도),10000,1만원,,dry_run
7520,HANWHA,A4302,화상진단비,100000,10만원,,dry_run
7520,HANWHA,A4210,대유사암진단비(기타피부암),4000000,400만원,,dry_run
7520,HANWHA,A4210,대유사암진단비(제자리암),4000000,400만원,,dry_run
7520,HANWHA,A4210,대유사암진단비(경계성종양),4000000,400만원,,dry_run
7520,HANWHA,A4210,대유사암진단비(갑상선암),4000000,400만원,,dry_run
7520,HANWHA,A9617_1,특정유사암항암방사선치료비(세부보장별각1회한),1000000,100만원,,dry_run
7520,HANWHA,A9617_1,세부보장,3000000,300만원,,dry_run
7520,HANWHA,A9617_1,항암방사선치료비(1회한),3000000,300만원,,dry_run
7520,HANWHA,A9617_1,항암약물치료비(1회한),3000000,300만원,,dry_run
7520,HANWHA,A9617_1,특정유사암항암약물치료비(세부보장별각1회한),1000000,100만원,,dry_run
7521,HANWHA,A4104_1,심근병증진단비,1000000,100만원,,dry_run
