source_chunk_id,insurer_code,coverage_code,raw_name,amount_value,amount_text,new_chunk_id,status
6260,DB,A1300,상해사망,100000,10만원,10953,created
6260,DB,A1100,질병사망,100000,10만원,10954,created
6260,DB,A5300,상해수술비(동일사고당1회지급),100000,10만원,10955,created
6260,DB,A4301_1,골절진단비(치아제외),100000,10만원,10956,created
6260,DB,A5200,암수술비(유사암제외)(최초1회한),300000,30만원,10957,created
6260,DB,A5298_001,유사암수술비,300000,30만원,10958,created
6260,DB,A9617_1,항암방사선약물치료비(유사암포함),20000,2만원,10959,created
6260,DB,A9640_1,혈전용해치료비,100000,10만원,10960,created
6260,DB,A5100,질병수술비(매회지급),100000,10만원,10961,created
6270,DB,A1300,상해사망,100000,10만원,10962,created
6270,DB,A1100,질병사망,100000,10만원,10963,created
6270,DB,A5300,상해수술비(동일사고당1회지급),100000,10만원,10964,created
6270,DB,A4301_1,골절진단비(치아제외),100000,10만원,10965,created
6270,DB,A5200,암수술비(유사암제외)(최초1회한),300000,30만원,10966,created
6270,DB,A5298_001,유사암수술비,300000,30만원,10967,created
6270,DB,A9617_1,항암방사선약물치료비(유사암포함),20000,2만원,10968,created
6270,DB,A9640_1,혈전용해치료비,100000,10만원,10969,created
6270,DB,A5100,질병수술비(매회지급),100000,10만원,10970,created
6292,DB,A5100,질병수술비(상급종합병원)(동일질병당1회지급),1000000,100만원,10971,created
6292,DB,A5100,질병수술비(상급종합병원)(매회지급),1000000,100만원,,skipped_existing
6301,DB,A4299_1,암진단비,1000000,100만원,10972,created
6301,DB,A4299_1,암진단비,1000000,100만원,,skipped_existing
6303,DB,A4299_1,암진단비,1000000,100만원,10973,created
6361,DB,A5100,질병수술비(상급종합병원)(동일질병당1회지급),1000000,100만원,10974,created
6361,DB,A5100,질병수술비(상급종합병원)(매회지급),1000000,100만원,,skipped_existing
6412,DB,A5298_001,유사암수술비,4000000,400만원,10975,created
6412,DB,A5298_001,유사암수술비,6000000,600만원,,skipped_existing
6415,DB,A1300,상해사망,100000000,1억원,10976,created
6415,DB,A9617_1,항암방사선약물치료비(유사암포함),20000000,"2,000만원",10977,created
6415,DB,A4105,허혈심장질환진단비,20000000,"2,000만원",10978,created
6415,DB,A1300,상해사망,10000000,"1,000만원",,skipped_existing
6415,DB,A1300,상해사망,10000000,"1,000만원",,skipped_existing
6415,DB,A4299_1,암진단비,10000000,"1,000만원",10979,created
6415,DB,A4210,유사암진단비,1000000,100만원,10980,created
6415,DB,A4103,뇌졸중진단비,10000000,"1,000만원",10981,created
6416,DB,A1300,상해사망,10000000,"1,000만원",10982,created
6416,DB,A1300,상해사망,10000000,"1,000만원",,skipped_existing
6416,DB,A4299_1,암진단비,10000000,"1,000만원",10983,created
6416,DB,A4210,유사암진단비,1000000,100만원,10984,created
6416,DB,A4103,뇌졸중진단비,10000000,"1,000만원",10985,created
6416,DB,A1300,상해사망,10000000,"1,000만원",,skipped_existing
6416,DB,A1300,상해사망,10000000,"1,000만원",,skipped_existing
6416,DB,A4299_1,암진단비,10000000,"1,000만원",,skipped_existing
6416,DB,A4210,유사암진단비,1000000,100만원,,skipped_existing
6416,DB,A4103,뇌졸중진단비(갱신형),10000000,"1,000만원",,skipped_existing
6417,DB,A1300,상해사망,10000000,"1,000만원",10986,created
6417,DB,A1300,상해사망,10000000,"1,000만원",,skipped_existing
6417,DB,A4299_1,암진단비,10000000,"1,000만원",10987,created
6417,DB,A4210,유사암진단비,1000000,100만원,10988,created
6417,DB,A4103,뇌졸중진단비(갱신형),10000000,"1,000만원",10989,created
6417,DB,A1300,상해사망,10000000,"1,000만원",,skipped_existing
6417,DB,A1300,상해사망,10000000,"1,000만원",,skipped_existing
6417,DB,A4299_1,암진단비,10000000,"1,000만원",,skipped_existing
